ticker,date,price,price_after_fees
KR5101717738,2011-10-31,656.5,635.2
KR5101717738,2011-11-30,647.4,626.1
KR5101717738,2012-01-31,651.0,628.0
KR5101717738,2012-02-29,698.8,675.8
KR5101717738,2012-04-30,635.1,610.6
KR5101717738,2012-05-31,615.3,590.8
KR5101717738,2012-07-31,616.0,589.9
KR5101717738,2012-08-31,676.4,650.3
KR5101717738,2012-10-31,709.9,682.1
KR5101717738,2012-11-30,705.4,677.6
KR5101717738,2012-12-31,697.8,670.0
KR5101717738,2013-01-31,684.7,655.2
KR5101717738,2013-02-28,724.6,695.1
KR5101717738,2013-04-30,786.5,755.0
KR5101717738,2013-05-31,778.1,746.6
KR5101717738,2013-07-31,708.8,675.5
KR5101717738,2013-09-30,724.2,690.9
KR5101717738,2013-10-31,741.4,706.3
KR5101717738,2013-12-31,728.5,693.4
KR5101717738,2014-02-28,754.4,717.5
KR5101717738,2014-03-31,773.7,736.8
KR5101717738,2014-04-30,797.4,758.5
KR5101717738,2014-06-30,795.9,757.0
KR5101717738,2014-07-31,834.3,793.3
KR5101717738,2014-09-30,846.3,805.3
KR5101717738,2014-10-31,826.6,783.6
KR5101717738,2014-12-31,835.4,792.4
KR5101717738,2015-03-31,913.3,868.2
KR5101717738,2015-04-30,950.7,903.2
KR5101717738,2015-06-30,932.9,885.4
KR5101717738,2015-07-31,896.5,846.8
KR5101717738,2015-08-31,872.4,822.7
KR5101717738,2015-09-30,892.3,842.6
KR5101717738,2015-11-30,879.8,827.8
KR5101717738,2015-12-31,878.4,826.4
KR5101717738,2016-02-29,863.7,809.6
KR5101717738,2016-03-31,912.0,857.9
KR5101717738,2016-05-31,912.5,856.1
KR5101717738,2016-06-30,881.1,824.7
KR5101717738,2016-08-31,916.7,857.9
KR5101717738,2016-09-30,939.3,880.5
KR5101717738,2016-10-31,928.5,867.4
KR5101717738,2016-11-30,904.1,843.0
KR5101717738,2017-01-31,950.0,886.6
KR5101717738,2017-02-28,970.4,907.0
KR5101717738,2017-03-31,988.2,924.8
KR5101717738,2017-05-31,1067.2,1001.2
KR5101717738,2017-06-30,1081.2,1015.2
KR5101717738,2017-07-31,1074.1,1005.4
KR5101717738,2017-08-31,1072.1,1003.4
KR5101717738,2017-10-31,1058.6,987.3
KR5101717738,2017-11-30,1103.7,1032.4
KR5101717738,2018-01-31,1180.7,1106.5
KR5101717738,2018-02-28,1136.0,1061.8
KR5101717738,2018-04-30,1121.8,1044.8
KR5101717738,2018-05-31,1110.2,1033.2
KR5101717738,2018-07-31,1037.6,958.0
KR5101717738,2018-08-31,1029.5,949.9
KR5101717738,2018-10-31,804.6,723.0
KR5101717738,2018-11-30,858.4,776.8
KR5101717738,2018-12-31,852.6,771.0
KR5101717738,2019-01-31,930.9,847.0
KR5101717738,2019-02-28,991.1,907.2
KR5101717738,2019-04-30,1045.8,959.3
KR5101717738,2019-05-31,977.9,891.4
KR5101717738,2019-07-31,953.3,864.4
KR5101717738,2019-09-30,954.0,865.1
KR5101717738,2019-10-31,948.8,857.5
KR5101717738,2019-12-31,996.1,904.8
KR5101717738,2020-01-31,965.6,871.9
KR5101717738,2020-03-31,721.7,628.0
KR5101717738,2020-06-30,863.6,767.8
KR5101717738,2020-07-31,894.4,796.4
KR5101717738,2020-08-31,929.3,831.3
KR5101717738,2020-11-30,987.9,887.5
KR5101717738,2020-12-31,1041.7,941.3
KR5101717738,2021-03-31,1144.0,1041.0
KR5101717738,2021-04-30,1208.0,1101.9
KR5101717738,2021-05-31,1241.8,1135.7
KR5101717738,2021-06-30,1262.6,1156.5
KR5101717738,2021-08-31,1272.3,1163.1
KR5101717738,2021-09-30,1270.5,1161.3
KR5101717738,2021-11-30,1189.3,1076.9
KR5101717738,2021-12-31,1271.1,1158.7
KR5101717738,2022-02-28,1225.0,1109.8
KR5101717738,2022-03-31,1308.5,1193.3
KR5101717738,2022-05-31,1300.7,1182.2
KR5101717738,2022-06-30,1106.8,988.3
KR5101717738,2022-08-31,1159.9,1038.5
KR5101717738,2022-09-30,1043.7,922.3
KR5101717738,2022-10-31,1057.9,933.9
KR5101717738,2022-11-30,1142.0,1018.0
KR5101717738,2023-01-31,1193.2,1066.2
KR5101717738,2023-02-28,1204.8,1077.8
KR5101717738,2023-03-31,1162.9,1035.9
KR5101717738,2023-05-31,1190.4,1060.6
KR5101717738,2023-06-30,1222.8,1093.0
KR5101717738,2023-07-31,1176.5,1043.7
KR5101717738,2023-08-31,1202.4,1069.6
KR5101717738,2023-10-31,1204.4,1068.6
KR5101717738,2023-11-30,1244.4,1108.6
KR5101717738,2024-01-31,1309.8,1170.8
KR5101717738,2024-02-29,1365.6,1226.6
KR5101717738,2024-04-30,1406.4,1263.9
KR5101717738,2024-05-31,1384.4,1241.9
KR5101717738,2024-07-31,1361.8,1215.9
KR5101717738,2024-09-30,1427.5,1281.6
KR5101717738,2024-10-31,1394.1,1244.7
KR5101717738,2024-12-31,1423.2,1273.8
KR5101717738,2025-01-31,1476.7,1323.6
KR5101717738,2025-02-28,1552.5,1399.4
KR5101717738,2025-03-31,1573.3,1420.2
KR5105819183,2008-04-30,817.8,814.0
KR5105819183,2008-06-30,800.5,796.7
KR5105819183,2008-07-31,750.7,743.5
KR5105819183,2008-09-30,753.8,746.6
KR5105819183,2008-10-31,664.9,654.6
KR5105819183,2008-12-31,691.8,681.5
KR5105819183,2009-03-31,664.2,650.6
KR5105819183,2009-04-30,659.3,642.7
KR5105819183,2009-06-30,711.6,695.0
KR5105819183,2009-07-31,703.9,684.0
KR5105819183,2009-08-31,744.2,724.3
KR5105819183,2009-09-30,703.5,683.6
KR5105819183,2009-11-30,655.7,632.7
KR5105819183,2009-12-31,673.8,650.8
KR5105819183,2010-03-31,707.0,680.8
KR5105819183,2010-04-30,687.7,658.4
KR5105819183,2010-05-31,678.1,648.8
KR5105819183,2010-06-30,680.9,651.6
